Event,Performance,Athlete,Nationality,Date,Meeting,Location City,Location Country,Gender,Setting,Official,Category
30 km walk (road),2:05:06.00,Nathan Deakes,AUS,2006-08-27,Australian Race Walking Championships,Hobart,AUS,Male,Outdoor,False,Walking
35 km walk (road),2:21:31.00,Vladimir Kanaykin,RUS,2006-02-19,Russian Winter Race Walking Championships,Adler,RUS,Male,Outdoor,False,Walking
50-mile walk (road),7:44:47.20,"Earl McCullouch, Fred Kuller, O. J. Simpson, Lennox Miller (JAM)",ISR,1972-01-01,,New Jersey,USA,Male,Outdoor,False,Walking
4 × 110 y relay,38.60,"Earl McCullouch, Fred Kuller, O. J. Simpson, Lennox Miller (JA, M)",,1967-06-17,NCAA Division I Men's Outdoor Championships,"Provo, Utah",USA,Male,Outdoor,False,Relay
Swedish relay,1:46.59,"Christopher Williams, Usain Bolt, Davian Clarke, Jermaine Gonzales",JAM,2006-07-25,DN Galan,Stockholm,SWE,Male,Outdoor,False,Relay
Sprint medley relay (2-2-4-8),3:10.76,"Carl Lewis, Ferran Tyler, Benny Hollis, Johnny Gray",USA,1985-04-06,,Tempe,USA,Male,Outdoor,False,Relay
4 × mile relay,15:49.08,"Eamonn Coghlan, Ray Flynn, Frank O'Mara, Marcus O'Sullivan",IRL,1985-08-17,,Dublin,IRL,Male,Outdoor,False,Relay
4 × 110m shuttle hurdle relay,52.94,"Jason Richardson, Aleec Harris, Aries Merritt, David Oliver",USA,2015-04-25,Drake Relays,Des Moines,USA,Male,Outdoor,False,Hurdles
50 m,5.93,Marion Jones,USA,1999-08-22,World Championships,Seville,ESP,Female,Outdoor,False,Sprint
60 m,6.83,Shelly-Ann Fraser-Pryce,JAM,2022-08-10,Monaco Diamond League,Monaco,MON,Female,Outdoor,False,Sprint
100 y,9.91,Veronica Campbell-Brown,JAM,2011-05-31,Golden Spike Ostrava,Ostrava,CZE,Female,Outdoor,False,Sprint
150 m,16.09,Shericka Jackson,JAM,2023-09-08,Memorial van Damme,Brussels,BEL,Female,Outdoor,False,Sprint
150 m,16.41,Brianna Rollins-McNeal,USA,2020-07-20,AP Ranch High-Performance Invitational,Fort Worth,USA,Female,Outdoor,False,Sprint
150 m straight,16.23,Shaunae Miller-Uibo,BAH,2018-05-20,Adidas Boost Boston Games,Boston,USA,Female,Outdoor,False,Sprint
200 m straight,21.76,Shaunae Miller-Uibo,BAH,2017-06-04,Boost Boston Games,Somerville,USA,Female,Outdoor,False,Sprint
300 m,34.14,Marita Koch,GDR,1985-10-06,World Cup,Canberra,AUS,Female,Outdoor,False,Sprint
300 m,34.41,Shaunae Miller-Uibo,BAH,2019-06-20,Golden Spike Ostrava,Ostrava,CZE,Female,Outdoor,False,Sprint
500 m,1:05.90,Tatana Kocembova,TCH,1984-08-02,,Ostrava,TCH,Female,Outdoor,False,Sprint
600 m,1:21.77,Caster Semenya,RSA,2017-08-27,ISTAF Berlin,Berlin,GER,Female,Outdoor,False,Sprint
1600 m,4:06.20,Faith Kipyegon,KEN,2023-07-21,Herculis,Monaco,MON,Female,Outdoor,False,Middle Distance
3200 m,8:55.45,Meseret Defar,ETH,2007-09-14,Memorial Van Damme,Brussels,BEL,Female,Outdoor,False,Long Distance
Two miles,8:58.58,Meseret Defar,ETH,2007-09-14,Memorial Van Damme,Brussels,BEL,Female,Outdoor,False,Long Distance
4 miles (road),19:14.00,Viola Kibiwot,KEN,2013-10-13,4 Mile of Groningen,Groningen,NED,Female,Outdoor,False,Long Distance
8 km (road),24:30.00,Mary Keitany,KEN,2011-02-18,RAK Half Marathon,Ras al-Khaimah,UAE,Female,Outdoor,False,Long Distance
12 km (road),38:05.00,Brillian Kipkoech,KEN,2019-05-19,FNB Cape Town 12 ONERUN,Cape Town,RSA,Female,Outdoor,False,Long Distance
15 km (road),44:20.00,Letesenbet Gidey,ETH,2019-11-17,Zevenheuvelenloop,Nijmegen,NED,Female,Outdoor,False,Long Distance
15 km (road),46:24.00,Joyciline Jepkosgei,KEN,2020-10-17,World Athletics Half Marathon Championships,Gdynia,POL,Female,Outdoor,False,Long Distance
10 miles (road),51:23.00,Keira D'Amato,USA,2020-11-24,Up Dawg Ten Miler,"Washington, D.C.",USA,Female,Outdoor,False,Long Distance
10 miles (road),50:05.00,Mary Keitany,KEN,2011-02-18,RAK Half Marathon,Ras al-Khaimah,UAE,Female,Outdoor,False,Long Distance
10 miles (road),49:21.00,Brigid Kosgei,KEN,2019-09-08,Great North Run,"Newcastle upon Tyne–South Shields, United Kingdom",GBR,Female,Outdoor,False,Long Distance
"20,000 m (track)",1:05:26.60,Tegla Loroupe,KEN,2000-09-03,,Borgholzhausen,GER,Female,Outdoor,False,Long Distance
20 km (road),59:35.00,Letesenbet Gidey,ETH,2021-10-24,Valencia Half Marathon,Valencia,ESP,Female,Outdoor,False,Long Distance
